@@,item,itemlabel,psid
->,Q12582922,강석진 (1959년)->강석진,Q12582922-8B10D3F2-7AD5-4748-9366-F6956BA2004B
->,Q12586962,김광림 (1948년)->김광림,Q12586962-AAA867C9-6D47-4FC9-9120-343F6621A5B1
->,Q12587395,김민기 (정치인)->김민기,Q12587395-b4dc24ab-42cf-6f0e-1fee-75107866776a
->,Q12587661,김선동 (1963년)->김선동,Q12587661-42F99D1F-7116-438E-BB24-F7B5BE178593
->,Q12587723,김성수 (1956년)->김성수,Q12587723-DE29EFC7-5FCE-4500-99A4-2B9916F88DE2
->,Q12587759,김성찬 (군인)->김성찬,Q12587759-2A342AB9-0961-47E8-A3D8-DD780332E20F
->,Q12587766,김성태 (1958년)->김성태,Q12587766-88316B70-00BC-40E7-88FB-F8BAFC78FD0E
->,Q12587781,김성환 (1965년)->김성환,Q12587781-3898065b-466a-dbd3-0bea-56abdc992e1e
->,Q12588053,김영우 (1967년)->김영우,Q12588053-8B3E88CA-3518-40EB-BA7E-ADE23FD01169
->,Q12588221,김용태 (1968년)->김용태,Q12588221-43B141A1-7DB8-48CE-8020-42FAD959EB4C
->,Q12588496,김재원 (1964년)->김재원,Q12588496-2D59F689-362C-4E8F-BC88-9A5F0D145B08
->,Q55728334,김정호 (1960년)->김정호,Q55728334-46d1e2e3-4183-6d77-f18e-8f1d37621195
->,Q12588607,김정훈 (정치인)->김정훈,Q12588607-CA816394-9F7C-44C6-9940-B9465968C591
->,Q12588973,김철민 (1957년)->김철민,Q12588973-C0A7DDC9-C250-46F5-B64E-ADF8BBDC68BE
->,Q12597014,박인숙 (1948년)->박인숙,Q12597014-0653E7C6-77FF-423B-A558-86772E393D5C
->,Q12597165,박준영 (1946년)->박준영,Q12597165-5295491B-5FDA-4ABC-9E3E-14950CC5780C
->,Q12606637,엄용수 (1965년)->엄용수,Q12606637-B2F2BADB-F5F8-443A-AE93-C8F3C567F944
->,Q55732959,윤준호 (정치인)->윤준호,Q55732959-148bc95f-481c-6f99-2dfd-617caf22ce4b
->,Q24856357,이만희 (1964년)->이만희,Q24856357-93D81481-822C-4139-850C-346BEE3F9CBD
->,Q12611365,이명수 (1955년)->이명수,Q12611365-b857bbf3-4acf-42b0-4bc9-efd4b5ff0553
->,Q6514941,이상돈 (1951년)->이상돈,Q6514941-FDE5B433-3304-4C18-8294-EA4BFA152F29
->,Q55733229,이상헌 (1954년)->이상헌,Q55733229-b7abcbb6-40f0-97f7-e809-3227e4f5cb4d
->,Q12612211,이우현 (1957년)->이우현,Q12612211-2E3E1331-665E-49FC-A2C5-79875473B8A4
->,Q12612437,이장우 (1965년)->이장우,Q12612437-8cf8ffa6-42a6-d6b9-13a1-f53ba64fdf11
->,Q12612708,이주영 (1951년)->이주영,Q12612708-F6A07B9D-9627-4FCE-A0CA-6C1868D7D85F
->,Q12612920,이철희 (1964년)->이철희,Q12612920-14a25cca-49c3-98f7-0170-610d4894efe4
->,Q12613145,이현재 (1949년)->이현재,Q12613145-D4A02557-ECDB-4F87-923E-C08431A60978
->,Q57912222,임재훈 (정당인)->임재훈,Q57912222-5267b339-424a-ff85-487b-76f6cc2295c2
->,Q12615854,정용기 (1962년)->정용기,Q12615854-C2A88FBE-9215-4154-AFD5-93E773CA9358
->,Q12615902,정은혜 (정치인)->정은혜,Q12615902-264a7e99-4331-2343-f185-a7ce327b34fc
->,Q12616038,정진석 (1960년)->정진석,Q12616038-49d42746-4feb-b3f0-b371-a35270fb7bfd
->,Q12625372,홍문종 (1955년)->홍문종,Q12625372-222fc92b-4928-58cd-6e1e-4e59b0d6302d
